id,precipitation_nextday
1,1.0
2,0.72
3,0.92
4,0.0
5,0.88
6,0.16
7,0.0
8,1.0
9,0.28
10,0.08
11,0.28
12,0.0
13,0.0
14,0.0
15,0.92
16,0.32
17,0.04
18,0.48
19,0.08
20,0.84
21,0.76
22,0.0
23,0.0
24,0.12
25,0.0
26,0.32
27,0.8
28,0.04
29,0.52
30,0.0
31,0.0
32,0.04
33,0.0
34,0.0
35,0.08
36,1.0
37,0.04
38,0.92
39,0.0
40,1.0
41,0.76
42,0.0
43,0.88
44,0.2
45,0.72
46,0.48
47,0.08
48,0.28
49,1.0
50,0.88
51,0.0
52,0.12
53,0.04
54,0.04
55,0.12
56,0.92
57,0.0
58,0.08
59,0.04
60,0.96
61,0.04
62,0.96
63,0.0
64,0.4
65,0.04
66,1.0
67,0.28
68,0.08
69,0.64
70,0.76
71,0.2
72,0.88
73,0.76
74,0.52
75,0.96
76,0.0
77,0.08
78,0.2
79,0.04
80,0.96
81,0.64
82,0.0
83,0.88
84,0.44
85,0.08
86,0.12
87,0.36
88,0.36
89,0.12
90,0.08
91,1.0
92,0.2
93,0.08
94,0.12
95,0.0
96,1.0
97,0.44
98,0.0
99,0.48
100,0.12
101,1.0
102,0.76
103,0.92
104,0.04
105,0.84
106,1.0
107,0.52
108,0.4
109,0.92
110,0.4
111,0.24
112,0.24
113,0.96
114,0.84
115,0.36
116,0.0
117,0.84
118,0.0
119,0.6
120,1.0
121,0.48
122,0.68
123,0.16
124,0.2
125,0.08
126,0.0
127,0.04
128,0.08
129,0.04
130,0.96
131,0.04
132,0.0
133,0.4
134,0.12
135,0.08
136,0.6
137,0.0
138,0.84
139,0.48
140,0.72
141,0.72
142,0.08
143,0.92
144,0.76
145,1.0
146,0.0
147,0.08
148,0.92
149,0.24
150,1.0
151,0.4
152,0.64
153,0.8
154,0.0
155,0.96
156,0.24
157,0.6
158,0.2
159,0.0
160,0.6
161,0.84
162,0.04
163,0.0
164,0.8
165,0.24
166,0.8
167,0.92
168,0.44
169,0.72
170,0.0
171,0.0
172,0.32
173,0.0
174,1.0
175,1.0
176,0.2
177,0.12
178,0.96
179,0.0
180,0.92
181,0.04
182,0.6
183,0.08
184,0.04
185,1.0
186,0.08
187,0.84
188,0.04
189,0.04
190,0.68
191,0.36
192,0.48
193,0.0
194,0.72
195,0.56
196,0.8
197,0.04
198,0.92
199,0.0
200,0.04
201,0.16
202,0.12
203,0.76
204,0.84
205,0.04
206,0.8
207,0.0
208,0.84
209,0.76
210,0.12
211,0.44
212,0.72
213,0.08
214,0.2
215,0.64
216,0.0
217,0.48
218,0.76
219,0.2
220,0.76
221,0.04
222,0.36
223,0.0
224,0.0
225,0.52
226,0.64
227,0.6
228,0.88
229,0.6
230,0.0
231,0.8
232,0.68
233,0.72
234,0.92
235,0.6
236,0.08
237,0.0
238,0.36
239,0.28
240,0.8
241,0.96
242,0.84
243,0.68
244,0.92
245,0.0
246,0.8
247,0.88
248,0.56
249,0.4
250,0.84
251,0.28
252,0.0
253,0.08
254,0.04
255,0.76
256,0.0
257,0.76
258,0.4
259,0.76
260,0.0
261,0.2
262,0.88
263,0.32
264,0.04
265,0.04
266,0.84
267,0.08
268,0.16
269,0.84
270,0.8
271,0.56
272,0.2
273,0.92
274,1.0
275,0.88
276,0.72
277,0.08
278,0.12
279,0.48
280,0.0
281,0.08
282,0.08
283,0.08
284,0.92
285,0.2
286,0.92
287,0.0
288,0.32
289,0.72
290,0.32
291,0.0
292,0.12
293,0.24
294,0.0
295,0.0
296,0.0
297,0.92
298,0.0
299,0.88
300,0.0
301,0.12
302,0.88
303,0.0
304,0.0
305,0.16
306,0.48
307,0.0
308,0.84
309,0.52
310,0.2
311,0.0
312,0.0
313,0.0
314,0.04
315,1.0
316,0.4
317,0.76
318,0.68
319,0.0
320,0.84
321,0.0
322,0.12
323,0.8
324,0.92
325,0.08
326,0.4
327,0.96
328,0.0
329,0.32
330,0.68
331,0.72
332,0.44
333,0.0
334,0.0
335,0.76
336,0.12
337,0.16
338,1.0
339,0.08
340,0.72
341,0.92
342,0.0
343,0.0
344,0.92
345,0.8
346,0.36
347,0.6
348,0.88
349,0.68
350,0.0
351,0.8
352,0.8
353,0.8
354,0.44
355,0.68
356,0.76
357,0.48
358,0.84
359,0.0
360,0.88
361,0.88
362,0.36
363,0.76
364,0.12
365,0.8
366,0.44
367,0.04
368,0.52
369,0.08
370,0.92
371,0.64
372,0.92
373,0.0
374,0.12
375,0.12
376,0.12
377,0.96
378,0.44
379,0.0
380,0.44
381,0.08
382,0.12
383,0.92
384,0.56
385,0.32
386,0.76
387,0.28
388,0.48
389,0.72
390,0.72
391,0.92
392,0.64
393,0.6
394,0.92
395,0.28
396,0.12
397,0.2
398,0.24
399,0.48
400,0.84
401,0.92
402,0.24
403,0.04
404,0.4
405,0.08
406,0.48
407,0.72
408,0.08
409,0.92
410,0.56
411,0.76
412,0.96
413,0.48
414,1.0
415,0.68
416,0.2
417,0.08
418,0.72
419,0.44
420,0.0
421,0.92
422,0.28
423,0.0
424,0.04
425,0.68
426,0.6
427,0.0
428,0.08
429,0.04
430,0.68
431,0.36
432,0.04
433,0.92
434,0.52
435,0.72
436,0.84
437,0.0
438,0.0
439,0.08
440,0.12
441,1.0
442,0.52
443,0.72
444,0.8
445,0.0
446,0.04
447,0.08
448,0.72
449,0.28
450,0.72
451,0.0
452,0.36
453,0.68
454,0.04
455,0.8
456,1.0
457,0.52
458,0.28
459,0.08
460,0.08
461,0.68
462,0.04
463,0.88
464,0.32
465,0.8
466,0.44
467,1.0
468,0.76
469,0.92
470,0.04
471,0.32
472,0.6
473,0.76
474,0.72
475,0.8
476,0.44
477,0.64
478,0.08
479,0.76
480,0.32
481,0.72
482,0.28
483,0.16
484,0.32
485,0.16
486,0.8
487,0.36
488,0.72
489,1.0
490,0.28
491,0.08
492,1.0
493,0.76
494,0.96
495,0.0
496,0.12
497,0.68
498,0.0
499,0.8
500,0.0
501,0.0
502,0.0
503,0.08
504,0.08
505,0.96
506,0.88
507,0.24
508,0.96
509,0.96
510,0.04
511,0.8
512,0.64
513,0.76
514,0.88
515,0.04
516,0.84
517,0.0
518,0.44
519,0.72
520,0.68
521,1.0
522,0.12
523,0.0
524,0.0
525,0.72
526,0.0
527,0.64
528,0.88
529,0.6
530,0.72
531,0.96
532,0.36
533,0.88
534,0.28
535,0.2
536,0.76
537,0.0
538,0.16
539,0.0
540,0.12
541,0.28
542,0.04
543,0.28
544,0.44
545,0.88
546,0.36
547,0.32
548,0.0
549,0.0
550,0.68
551,0.6
552,0.0
553,0.12
554,0.24
555,0.16
556,0.56
557,0.04
558,0.84
559,0.52
560,0.16
561,0.04
562,0.36
563,0.44
564,0.0
565,0.64
566,0.52
567,0.24
568,0.2
569,0.84
570,0.12
571,0.88
572,0.84
573,0.04
574,1.0
575,0.04
576,0.32
577,0.64
578,0.08
579,0.04
580,0.0
581,0.88
582,0.84
583,0.0
584,0.56
585,0.96
586,0.92
587,0.88
588,0.96
589,0.04
590,0.0
591,0.08
592,0.0
593,0.88
594,0.92
595,0.0
596,0.36
597,0.08
598,0.0
599,0.04
600,0.0
601,0.68
602,0.36
603,0.04
604,0.52
605,0.64
606,0.16
607,1.0
608,0.8
609,0.8
610,0.04
611,0.04
612,0.56
613,0.84
614,0.04
615,1.0
616,0.12
617,0.8
618,0.08
619,0.68
620,0.12
621,0.04
622,0.32
623,0.04
624,1.0
625,0.84
626,0.8
627,0.0
628,0.44
629,0.28
630,0.92
631,0.24
632,0.0
633,0.0
634,0.24
635,0.24
636,0.96
